"","tweet","created","number"
"266","positive","2016-04-18:07",7
"267","positive","2016-04-18:08",7
"268","positive","2016-04-18:09",3
"269","positive","2016-04-18:10",14
"270","positive","2016-04-18:11",11
"271","positive","2016-04-18:12",12
"272","positive","2016-04-18:13",29
"273","positive","2016-04-18:14",15
"274","positive","2016-04-18:15",21
"275","positive","2016-04-18:16",15
"276","positive","2016-04-18:17",20
"277","positive","2016-04-18:18",11
"278","positive","2016-04-18:19",23
