"","tweet","created","number"
"83","negative","2016-04-15:05",3
"84","negative","2016-04-15:06",5
"85","negative","2016-04-15:07",2
"86","negative","2016-04-15:08",8
"87","negative","2016-04-15:09",5
"88","negative","2016-04-15:10",11
"89","negative","2016-04-15:11",13
"90","negative","2016-04-15:12",15
"91","negative","2016-04-15:13",17
"92","negative","2016-04-15:14",12
"93","negative","2016-04-15:15",15
"94","negative","2016-04-15:16",26
"95","negative","2016-04-15:17",23
"96","negative","2016-04-15:18",30
"97","negative","2016-04-15:19",27
"98","negative","2016-04-15:20",40
"99","negative","2016-04-15:21",18
"100","negative","2016-04-15:22",55
"101","negative","2016-04-15:23",42
"102","negative","2016-04-16:00",18
"103","negative","2016-04-16:01",17
"104","negative","2016-04-16:02",7
"105","negative","2016-04-16:03",5
"106","negative","2016-04-16:04",4
"107","negative","2016-04-16:05",8
"108","negative","2016-04-16:06",17
"109","negative","2016-04-16:07",14
"110","negative","2016-04-16:08",23
"111","negative","2016-04-16:09",22
"112","negative","2016-04-16:10",36
"113","negative","2016-04-16:11",22
"114","negative","2016-04-16:12",19
"115","negative","2016-04-16:13",36
"116","negative","2016-04-16:14",30
"117","negative","2016-04-16:15",36
"118","negative","2016-04-16:16",38
"119","negative","2016-04-16:17",40
"120","negative","2016-04-16:18",26
"121","negative","2016-04-16:19",32
"122","negative","2016-04-16:20",32
"123","negative","2016-04-16:21",10
"124","negative","2016-04-16:22",18
"125","negative","2016-04-16:23",16
"126","negative","2016-04-17:00",9
"127","negative","2016-04-17:01",6
"128","negative","2016-04-17:02",6
"129","negative","2016-04-17:03",4
"130","negative","2016-04-17:04",6
"131","negative","2016-04-17:05",3
"132","negative","2016-04-17:06",3
"133","negative","2016-04-17:07",9
"134","negative","2016-04-17:08",2
"135","negative","2016-04-17:09",8
"136","negative","2016-04-17:10",17
"137","negative","2016-04-17:11",24
"138","negative","2016-04-17:12",17
"139","negative","2016-04-17:13",31
"140","negative","2016-04-17:14",23
"141","negative","2016-04-17:15",24
"142","negative","2016-04-17:16",37
"143","negative","2016-04-17:17",30
"144","negative","2016-04-17:18",18
"145","negative","2016-04-17:19",22
"146","negative","2016-04-17:20",25
"147","negative","2016-04-17:21",24
"148","negative","2016-04-17:22",18
"149","negative","2016-04-17:23",14
"150","negative","2016-04-18:00",3
"151","negative","2016-04-18:01",8
"152","negative","2016-04-18:02",11
"153","negative","2016-04-18:03",1
"154","negative","2016-04-18:04",2
"155","negative","2016-04-18:05",7
"156","negative","2016-04-18:06",5
"157","negative","2016-04-18:07",6
"158","negative","2016-04-18:08",14
"159","negative","2016-04-18:09",28
"160","negative","2016-04-18:10",13
"161","negative","2016-04-18:11",14
"162","negative","2016-04-18:12",23
"163","negative","2016-04-18:13",8
"164","negative","2016-04-18:14",15
"165","negative","2016-04-18:15",26
"166","negative","2016-04-18:16",22
"167","negative","2016-04-18:17",24
"168","negative","2016-04-18:18",26
"169","negative","2016-04-18:19",21
"170","negative","2016-05-01:19",2
"171","positive","2016-04-11:19",11
"172","positive","2016-04-11:20",26
"173","positive","2016-04-11:21",37
"174","positive","2016-04-11:22",25
"175","positive","2016-04-11:23",31
"176","positive","2016-04-12:00",38
"177","positive","2016-04-12:01",17
"178","positive","2016-04-12:02",22
"179","positive","2016-04-12:03",6
"180","positive","2016-04-12:04",5
"181","positive","2016-04-12:05",6
"182","positive","2016-04-12:06",7
"183","positive","2016-04-12:07",8
"184","positive","2016-04-12:08",12
"185","positive","2016-04-12:09",18
"186","positive","2016-04-12:10",18
"187","positive","2016-04-12:11",32
"188","positive","2016-04-12:12",29
"189","positive","2016-04-12:13",28
"190","positive","2016-04-12:14",35
"191","positive","2016-04-12:15",44
"192","positive","2016-04-12:16",38
"193","positive","2016-04-12:17",35
"194","positive","2016-04-12:18",26
"195","positive","2016-04-12:19",156
"196","positive","2016-04-12:20",33
"197","positive","2016-04-12:21",37
"198","positive","2016-04-12:22",35
"199","positive","2016-04-12:23",34
"200","positive","2016-04-13:00",19
"201","positive","2016-04-13:01",26
"202","positive","2016-04-13:02",6
"203","positive","2016-04-13:03",7
"204","positive","2016-04-13:04",3
"205","positive","2016-04-13:05",3
"206","positive","2016-04-13:06",5
"207","positive","2016-04-13:07",4
"208","positive","2016-04-13:08",8
"209","positive","2016-04-13:09",21
"210","positive","2016-04-13:10",21
"211","positive","2016-04-13:11",21
"212","positive","2016-04-13:12",40
"213","positive","2016-04-13:13",28
"214","positive","2016-04-13:14",31
